Energy.ch	2016-11	Nutzungsdauer	0:05:24
Energy.ch	2016-11	Visits	2489222
Energy.ch	2016-11	Visits/UCs	5.9
Energy.ch	2016-12	CH PIs	85-89%
Energy.ch	2016-12	CH Visits	90-94%
Energy.ch	2016-12	PI/Visits	4.3
Energy.ch	2016-12	Page Impressions	7638281
Energy.ch	2016-12	Unique Clients	272000
Energy.ch	2016-12	Nutzungsdauer	0:06:04
Energy.ch	2016-12	Visits	1776172
Energy.ch	2016-12	Visits/UCs	6.5
Energy.ch	2017-01	CH PIs	85-89%
Energy.ch	2017-01	CH Visits	85-89%
Energy.ch	2017-01	PI/Visits	4.4
Energy.ch	2017-01	Page Impressions	7737495
Energy.ch	2017-01	Unique Clients	296000
Energy.ch	2017-01	Nutzungsdauer	0:05:53
Energy.ch	2017-01	Visits	1777271
Energy.ch	2017-01	Visits/UCs	6.0
Energy.ch	2017-02	CH PIs	85-89%
Energy.ch	2017-02	CH Visits	85-89%
Energy.ch	2017-02	PI/Visits	4.2
Energy.ch	2017-02	Page Impressions	7721734
Energy.ch	2017-02	Unique Clients	323000
Energy.ch	2017-02	Nutzungsdauer	0:05:36
Energy.ch	2017-02	Visits	1834011
Energy.ch	2017-02	Visits/UCs	5.7
Energy.ch	2017-03	CH PIs	85-89%
Energy.ch	2017-03	CH Visits	85-89%
Energy.ch	2017-03	PI/Visits	4.3
Energy.ch	2017-03	Page Impressions	8746460
Energy.ch	2017-03	Unique Clients	320000
Energy.ch	2017-03	Nutzungsdauer	0:05:53
Energy.ch	2017-03	Visits	2034246
Energy.ch	2017-03	Visits/UCs	6.4
Energy.ch	2017-04	CH PIs	85-89%
Energy.ch	2017-04	CH Visits	85-89%
Energy.ch	2017-04	PI/Visits	4.3
Energy.ch	2017-04	Page Impressions	8244615
Energy.ch	2017-04	Unique Clients	347000
Energy.ch	2017-04	Nutzungsdauer	0:05:43
Energy.ch	2017-04	Visits	1934062
Energy.ch	2017-04	Visits/UCs	5.6
Energy.ch	2017-05	CH PIs	85-89%
Energy.ch	2017-05	CH Visits	85-89%
Energy.ch	2017-05	PI/Visits	4.5
Energy.ch	2017-05	Page Impressions	8839313
Energy.ch	2017-05	Unique Clients	341000
Energy.ch	2017-05	Nutzungsdauer	0:05:42
Energy.ch	2017-05	Visits	1982132
Energy.ch	2017-05	Visits/UCs	5.8
Energy.ch	2017-06	CH PIs	85-89%
Energy.ch	2017-06	CH Visits	85-89%
