Webangebote Angebot;Unique Clients;Visits;CH-Visits;Use Time;Page Impressions;Nicht werberel.;WID;Offer;
RJB;34000;160113;90-94%;0:03:05;444634;;199;rjb;
ronorp.net;220000;536824;90-94%;0:04:58;1962230;;291;ronorp;
rro.ch;180000;2275665;95-100%;0:04:37;13894991;;389;rro;
RSI.ch;426000;2214233;70-74%;0:04:38;5630933;x;231;rtsi;
RTN;60000;224822;85-89%;0:03:13;615157;;200;rtn;
Rtr.ch;31000;123468;85-89%;0:05:20;431649;x;234;rtr;
rts.ch;1749000;13183720;80-84%;0:06:20;56021852;x;322;rts;
saison.ch;401000;602263;80-84%;0:02:45;1080916;;424;saison;
Sat1.ch;208000;491395;95-100%;0:09:34;1452541;;122;sat1;
sbb.ch;4958000;35303730;90-94%;0:06:53;193657195;;399;sbb;
schaffhausen.ch;33000;79293;80-84%;0:03:16;213343;;19;schaffh;
Schweizer Maschinenmarkt;25000;36488;55-59%;0:02:07;93402;;340;maschine;
schweizer-illustrierte.ch;561000;1341757;75-79%;0:02:54;7185825;;143;si;
schweizerbauer.ch;111000;429081;80-84%;0:04:19;3227750;;163;chbauer;
search.ch;3908000;18389593;90-94%;0:04:20;56752107;;137;search;
search.ch - tel.search.ch;;;;;18'348'406;;;search;
seniorweb.ch;13000;23434;70-74%;0:03:41;52235;;405;seniorw;
shn.ch;32000;95897;80-84%;0:06:47;275975;;305;shn;
Sixx.ch;211000;313560;95-100%;0:04:52;628907;;430;sixx;
Sixx.ch - ch.fem.com;;;;;;;;sixx;
sonntagszeitung.ch;71000;108372;85-89%;0:04:52;443262;;103;sonntags;
Sportal;543000;1867177;85-89%;0:08:01;9874746;;101;sportal;
Sportal - fantasysuperleague.ch;;;;;;;;sportal;
Sportal - fcb.ch;;;;;;;;sportal;
Sportal - sport.ch;;;;;;;;sportal;
Sportal - sport.ch FOOTBALLNET ;;;;;;;;sportal;
Sportal - sport.ch SLAPSHOT;;;;;;;;sportal;
Sportal - sport.ch SMASH ;;;;;;;;sportal;
Sportal - SPORT1.ch;;;;;;;;sportal;
srf.ch;4700000;37706570;90-94%;0:06:10;158283472;x;422;srf;
srgssr.ch;24000;37697;65-69%;0:02:38;81914;x;240;srg;
St. Galler Tagblatt;576000;2277970;85-89%;0:04:32;10248559;;26;tagblatt;
St. Galler Tagblatt - appenzellerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - ostjob.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - ostschweiz-am-sonntag.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - rewardo.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - rheintaler.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - thurgauerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - toggenburgertagblatt.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - trauerportal-ostschweiz.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - wilerzeitung.ch;;;;;;;;tagblatt;
St. Galler Tagblatt - wundo.ch;;;;;;;;tagblatt;
Starticket;403000;667669;85-89%;0:03:36;2371586;;270;startick;
students.ch;77000;151958;75-79%;0:04:59;1195105;;262;students;
Style Online;88000;126847;80-84%;0:01:28;422516;;396;sistyle;
suedostschweiz.ch;385000;1187993;85-89%;0:03:29;3459511;;80;suedost;
suedostschweiz.ch - abschied-nehmen.ch;;;;;;;;suedost;
suedostschweiz.ch - budag.ch;;;;;;;;suedost;
suedostschweiz.ch - hoefner.ch;;;;;;;;suedost;
suedostschweiz.ch - marchanzeiger.ch;;;;;;;;suedost;
Swiss IT Magazine;35000;73495;70-74%;0:03:16;159770;;21;infoweek;
Swiss IT Reseller;25000;54076;70-74%;0:03:00;97883;;303;itresell;
